"","code_muni","bioma"
"213",1503903,"Amazonia"
"214",1504000,"Amazonia"
"215",1504059,"Amazonia"
"216",1504109,"Amazonia"
"217",1504208,"Amazonia"
"218",1504307,"Amazonia"
"219",1504406,"Amazonia"
"220",1504422,"Amazonia"
"221",1504455,"Amazonia"
"222",1504505,"Amazonia"
"223",1504604,"Amazonia"
"224",1504703,"Amazonia"
"225",1504752,"Amazonia"
"226",1504802,"Amazonia"
"227",1504901,"Amazonia"
"228",1504950,"Amazonia"
"229",1504976,"Amazonia"
"230",1505007,"Amazonia"
"231",1505031,"Amazonia"
"232",1505064,"Amazonia"
"233",1505106,"Amazonia"
"234",1505205,"Amazonia"
"235",1505304,"Amazonia"
"236",1505403,"Amazonia"
"237",1505437,"Amazonia"
"238",1505486,"Amazonia"
"239",1505494,"Amazonia"
"240",1505502,"Amazonia"
"241",1505536,"Amazonia"
"242",1505551,"Amazonia"
"243",1505601,"Amazonia"
"244",1505635,"Amazonia"
"245",1505650,"Amazonia"
"246",1505700,"Amazonia"
"247",1505809,"Amazonia"
"248",1505908,"Amazonia"
"249",1506005,"Amazonia"
"250",1506104,"Amazonia"
"251",1506112,"Amazonia"
"252",1506138,"Amazonia"
"253",1506161,"Amazonia"
"254",1506187,"Amazonia"
"255",1506195,"Amazonia"
"256",1506203,"Amazonia"
"257",1506302,"Amazonia"
"258",1506351,"Amazonia"
"259",1506401,"Amazonia"
"260",1506500,"Amazonia"
"261",1506559,"Amazonia"
"262",1506583,"Amazonia"
"263",1506609,"Amazonia"
"264",1506708,"Amazonia"
"265",1506807,"Amazonia"
"266",1506906,"Amazonia"
"267",1507003,"Amazonia"
"268",1507102,"Amazonia"
"269",1507151,"Amazonia"
"270",1507201,"Amazonia"
"271",1507300,"Amazonia"
"272",1507409,"Amazonia"
"273",1507458,"Amazonia"
"274",1507466,"Amazonia"
"275",1507474,"Amazonia"
"276",1507508,"Amazonia"
"277",1507607,"Amazonia"
"278",1507706,"Amazonia"
"279",1507755,"Amazonia"
"280",1507805,"Amazonia"
"281",1507904,"Amazonia"
"282",1507953,"Amazonia"
"283",1507961,"Amazonia"
"284",1507979,"Amazonia"
"285",1508001,"Amazonia"
"286",1508035,"Amazonia"
"287",1508050,"Amazonia"
"288",1508084,"Amazonia"
"289",1508100,"Amazonia"
"290",1508126,"Amazonia"
"291",1508159,"Amazonia"
"292",1508209,"Amazonia"
"293",1508308,"Amazonia"
"294",1508357,"Amazonia"
"295",1508407,"Amazonia"
"296",1600055,"Amazonia"
"297",1600105,"Amazonia"
"298",1600154,"Amazonia"
"299",1600204,"Amazonia"
"300",1600212,"Amazonia"
"301",1600238,"Amazonia"
"302",1600253,"Amazonia"
"303",1600279,"Amazonia"
"304",1600303,"Amazonia"
"305",1600402,"Amazonia"
"306",1600501,"Amazonia"
"307",1600535,"Amazonia"
"308",1600550,"Amazonia"
"309",1600600,"Amazonia"
"310",1600709,"Amazonia"
"311",1600808,"Amazonia"
"312",1701002,"Amazonia"
"313",1701309,"Amazonia"
"314",1702109,"Amazonia"
"315",1702158,"Amazonia"
"316",1702307,"Amazonia"
"317",1702554,"Amazonia"
"318",1703057,"Amazonia"
"319",1703206,"Amazonia"
"320",1703800,"Amazonia"
"321",1703883,"Amazonia"
"322",1703891,"Amazonia"
"323",1707405,"Amazonia"
"324",1711100,"Amazonia"
"325",1713957,"Amazonia"
"326",1716307,"Amazonia"
"327",1716653,"Amazonia"
"328",1716703,"Amazonia"
"329",1717206,"Amazonia"
"330",1718550,"Amazonia"
"331",1718808,"Amazonia"
"332",1718865,"Amazonia"
"333",1720309,"Amazonia"
"334",1722107,"Amazonia"
"335",2100055,"Amazonia"
"336",2100204,"Amazonia"
"337",2100402,"Amazonia"
"338",2100477,"Amazonia"
"339",2100550,"Amazonia"
"340",2100600,"Amazonia"
"341",2100709,"Amazonia"
"342",2100832,"Amazonia"
"343",2100873,"Amazonia"
"344",2100956,"Amazonia"
"345",2101004,"Amazonia"
"346",2101103,"Amazonia"
"347",2101202,"Amazonia"
"348",2101251,"Amazonia"
"349",2101301,"Amazonia"
"350",2101350,"Amazonia"
"351",2101772,"Amazonia"
"352",2101905,"Amazonia"
"353",2101970,"Amazonia"
"354",2102002,"Amazonia"
"355",2102036,"Amazonia"
"356",2102077,"Amazonia"
"357",2102150,"Amazonia"
"358",2102325,"Amazonia"
"359",2102408,"Amazonia"
"360",2102507,"Amazonia"
"361",2102606,"Amazonia"
"362",2102903,"Amazonia"
"363",2103109,"Amazonia"
"364",2103125,"Amazonia"
"365",2103158,"Amazonia"
"366",2103174,"Amazonia"
"367",2103257,"Amazonia"
"368",2103554,"Amazonia"
"369",2103703,"Amazonia"
"370",2104305,"Amazonia"
"371",2104651,"Amazonia"
"372",2104677,"Amazonia"
"373",2104909,"Amazonia"
"374",2105104,"Amazonia"
"375",2105153,"Amazonia"
"376",2105427,"Amazonia"
"377",2105500,"Amazonia"
"378",2105658,"Amazonia"
"379",2105906,"Amazonia"
"380",2106201,"Amazonia"
"381",2106326,"Amazonia"
"382",2106375,"Amazonia"
"383",2106508,"Amazonia"
"384",2106805,"Amazonia"
"385",2106904,"Amazonia"
"386",2107357,"Amazonia"
"387",2107407,"Amazonia"
"388",2107456,"Amazonia"
"389",2107506,"Amazonia"
"390",2107605,"Amazonia"
"391",2108108,"Amazonia"
"392",2108256,"Amazonia"
"393",2108306,"Amazonia"
"394",2108405,"Amazonia"
"395",2108504,"Amazonia"
"396",2108603,"Amazonia"
"397",2108702,"Amazonia"
"398",2109056,"Amazonia"
"399",2109205,"Amazonia"
"400",2109239,"Amazonia"
"401",2109270,"Amazonia"
"402",2109452,"Amazonia"
"403",2109601,"Amazonia"
"404",2109809,"Amazonia"
"405",2109908,"Amazonia"
"406",2110005,"Amazonia"
"407",2110039,"Amazonia"
"408",2110203,"Amazonia"
"409",2110500,"Amazonia"
"410",2110856,"Amazonia"
"411",2111003,"Amazonia"
"412",2111029,"Amazonia"
"413",2111201,"Amazonia"
"414",2111300,"Amazonia"
"415",2111532,"Amazonia"
"416",2111706,"Amazonia"
"417",2111722,"Amazonia"
"418",2111763,"Amazonia"
"419",2111789,"Amazonia"
"420",2112274,"Amazonia"
"421",2112407,"Amazonia"
"422",2112456,"Amazonia"
"423",2112803,"Amazonia"
"424",2112852,"Amazonia"
"425",2112902,"Amazonia"
"426",2113009,"Amazonia"
"427",2114007,"Amazonia"
"428",5100250,"Amazonia"
"429",5100359,"Amazonia"
"430",5100805,"Amazonia"
"431",5101258,"Amazonia"
"432",5101308,"Amazonia"
"433",5101407,"Amazonia"
"434",5101704,"Amazonia"
"435",5101852,"Amazonia"
"436",5101902,"Amazonia"
"437",5102694,"Amazonia"
"438",5102793,"Amazonia"
"439",5102850,"Amazonia"
"440",5103056,"Amazonia"
"441",5103205,"Amazonia"
"442",5103254,"Amazonia"
"443",5103353,"Amazonia"
"444",5103361,"Amazonia"
"445",5103379,"Amazonia"
"446",5103437,"Amazonia"
"447",5103452,"Amazonia"
"448",5103700,"Amazonia"
"449",5103809,"Amazonia"
"450",5103858,"Amazonia"
"451",5103957,"Amazonia"
"452",5104104,"Amazonia"
"453",5104500,"Amazonia"
"454",5104526,"Amazonia"
"455",5104542,"Amazonia"
"456",5104559,"Amazonia"
"457",5105002,"Amazonia"
"458",5105101,"Amazonia"
"459",5105150,"Amazonia"
"460",5105176,"Amazonia"
"461",5105234,"Amazonia"
"462",5105507,"Amazonia"
"463",5105580,"Amazonia"
"464",5105606,"Amazonia"
"465",5105622,"Amazonia"
"466",5106000,"Amazonia"
"467",5106158,"Amazonia"
"468",5106182,"Amazonia"
"469",5106190,"Amazonia"
"470",5106216,"Amazonia"
"471",5106232,"Amazonia"
"472",5106240,"Amazonia"
"473",5106265,"Amazonia"
"474",5106273,"Amazonia"
"475",5106299,"Amazonia"
"476",5106422,"Amazonia"
"477",5106752,"Amazonia"
"478",5106778,"Amazonia"
"479",5106802,"Amazonia"
"480",5106828,"Amazonia"
"481",5107065,"Amazonia"
"482",5107107,"Amazonia"
"483",5107206,"Amazonia"
"484",5107248,"Amazonia"
"485",5107263,"Amazonia"
"486",5107305,"Amazonia"
"487",5107354,"Amazonia"
"488",5107578,"Amazonia"
"489",5107743,"Amazonia"
"490",5107750,"Amazonia"
"491",5107776,"Amazonia"
"492",5107859,"Amazonia"
"493",5107909,"Amazonia"
"494",5107941,"Amazonia"
"495",5108006,"Amazonia"
"496",5108055,"Amazonia"
"497",5108303,"Amazonia"
"498",5108501,"Amazonia"
"499",5108600,"Amazonia"
"500",5108808,"Amazonia"
"501",5108857,"Amazonia"
"502",5108907,"Amazonia"
"503",5108956,"Amazonia"
