"cases","t_mean","pre_total","ips_n_hum_bas","p_male","Natural.Forest","log_forestloss","log_perm_crop","log_ntfp","log_cattle","year","cod_mun","pop","inci","E","SIR"
156,-2.60719968042091,-0.44802684209519,-0.657937299399313,0.29929849898105,0.259991861788924,0.892253790353734,1.83025949146474,-0.433497709715455,1.07621483838703,2001,110001,26919,0.00579516326758052,17.1240370524773,9.11000131113543
116,-2.15731664177402,-0.80069152219652,-0.657937299399313,0.29929849898105,0.206624069951411,1.15635220419603,1.75139284267462,-0.504310712965427,1.02267355908248,2002,110001,27237,0.00425891250871976,17.3263270254588,6.69501388433643
111,-2.35470121358949,-0.459802747508212,-0.657937299399313,0.29929849898105,0.107259948780616,1.45244430704909,1.67210085458443,-0.485299288396737,1.12391089768223,2003,110001,27563,0.00402713782969923,17.5337060543643,6.3306639027618
109,-2.27939842896622,-0.464149292130614,-0.657937299399313,0.29929849898105,0.0955068661254826,0.947063289167785,1.68543481157845,-0.742208412592388,1.20153498223256,2004,110001,29001,0.00375849108651426,18.4484638567144,5.90835100670613
51,-2.2453791550254,-0.789736632699626,-0.657937299399313,0.29929849898105,0.0589455422166805,0.984555531440915,1.71174297536419,-0.824914677503874,1.21215707543435,2005,110001,28629,0.00178141045792728,18.2118227562455,2.80037867063637
24,-2.18247705085436,-0.16125248795748,-0.657937299399313,0.29929849898105,0.0246415413331558,0.748093570635055,1.70759658588758,-0.824914677503874,1.18733234816888,2006,110001,29005,0.000827443544216514,18.4510083846764,1.30074191608585
21,-2.46898992500994,-0.429303485273652,-0.657937299399313,0.29929849898105,0.0308440886888748,0.347914697516157,1.70747758671936,-0.706882502731976,1.1959482543949,2007,110001,23857,0.000880244791884981,15.1762008975427,1.38374551982903
27,-2.4737748908372,-0.693724099204433,-0.657937299399313,-0.0943837875399571,0.0278557367653486,0.429387457286442,1.71032541017551,-0.742208412592388,1.2010792056157,2008,110001,24577,0.00109858811083533,15.6342159307082,1.7269813925857
13,-2.27390996663737,-0.37455527098081,-0.657937299399313,-0.0943837875399571,0.031235647912065,-0.360985532028566,1.70640525702442,-0.674632473756304,1.20073640458596,2009,110001,24354,0.000533793216720046,15.492358496825,0.839123365410387
35,-2.12134585447906,-0.877806438539778,-0.657937299399313,-0.0943837875399571,0.0254227467219129,-0.283953014740498,1.71725492017539,-0.644965322964398,1.21200303420431,2010,110001,24392,0.0014348966874385,15.5165315124643,2.2556587451187
9,-2.22271477965049,-0.605241678211289,-0.657937299399313,-0.0943837875399571,-0.00293840751839011,0.467116964298452,1.73645256489988,-0.674632473756304,1.21382950475112,2011,110001,24228,0.00037147102526003,15.412205866021,0.583952750062995
21,-2.26468232036705,-0.379398208890513,-0.657937299399313,-0.0943837875399571,-0.0274155998155211,0.29323023464406,2.05690701895583,-0.644965322964398,1.22342042178745,2012,110001,24069,0.000872491586688271,15.3110608795303,1.37155747503266
32,-2.46676804405314,-0.219668303922384,-0.657937299399313,-0.0943837875399571,0.00924160673390334,-0.295591633940704,2.03353620039715,-0.644965322964398,1.24121804086464,2013,110001,25728,0.00124378109452736,16.3664038517826,1.95522487956416
